/usr/local/lib/python3.11/dist-packages/dgl/heterograph.py:92: DGLWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  dgl_warning(
Debug: Dataset photo train_idx: 1123, val_idx: 374, test_idx: 5990
Debug: Dataset photo train_idx: 10, val_idx: 10, test_idx: 10
Dataset: photo | #Nodes: 7487 | #Edges: 238087 | #Classes: 8 |#Features: 745
Exp 0/10
************************************
Start fitting model
************************************
Namespace(calibration={'epochs': 1000, 'patience': 50, 'cal_lr': 0.01, 'cal_weight_decay': 0, 'num_bin': 10, 'calibrator_name': 'CaGCN', 'dist_to_train': None, 'heads': 2, 'bias': 1, 'cal_dropout': 0.4, 'cal_hidden_dim': 32}, gnn={'type': 'gcnii', 'num_layer': 16, 'hid_dim': 64, 'dropout': 0.8, 'norm': None, 'in_dim': 745, 'out_dim': 8}, train={'epochs': 200, 'lr': 0.01, 'weight_decay': 0.001, 'patience': 50})
************************************
************************************
GPU memory allowcation
GPU Memory Allocated: 98.85 MB
GPU Memory Reserved: 220.00 MB
Exp 1/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 2.0930 | Acc(train) 0.1451 | Acc(val) 0.2219 |*
Epoch 00002 | Loss(train) 2.7544 | Acc(train) 0.2208 | Acc(val) 0.2807 |*
Epoch 00003 | Loss(train) 2.0091 | Acc(train) 0.2235 | Acc(val) 0.1016 |
Epoch 00004 | Loss(train) 2.0263 | Acc(train) 0.2378 | Acc(val) 0.2807 |
Epoch 00005 | Loss(train) 2.0345 | Acc(train) 0.2369 | Acc(val) 0.3503 |*
Epoch 00006 | Loss(train) 2.0246 | Acc(train) 0.2369 | Acc(val) 0.5187 |*
Epoch 00007 | Loss(train) 1.9915 | Acc(train) 0.2440 | Acc(val) 0.5080 |
Epoch 00008 | Loss(train) 1.9548 | Acc(train) 0.2698 | Acc(val) 0.4652 |
Epoch 00009 | Loss(train) 1.9353 | Acc(train) 0.2689 | Acc(val) 0.3128 |
Epoch 00010 | Loss(train) 1.9692 | Acc(train) 0.2707 | Acc(val) 0.4064 |
Epoch 00011 | Loss(train) 1.9015 | Acc(train) 0.2921 | Acc(val) 0.4358 |
Epoch 00012 | Loss(train) 1.8673 | Acc(train) 0.2921 | Acc(val) 0.4519 |
Epoch 00013 | Loss(train) 1.8878 | Acc(train) 0.2805 | Acc(val) 0.5294 |*
Epoch 00014 | Loss(train) 1.8637 | Acc(train) 0.2947 | Acc(val) 0.5642 |*
Epoch 00015 | Loss(train) 1.8038 | Acc(train) 0.3143 | Acc(val) 0.5588 |
Epoch 00016 | Loss(train) 1.7766 | Acc(train) 0.3250 | Acc(val) 0.5615 |
Epoch 00017 | Loss(train) 1.7886 | Acc(train) 0.3232 | Acc(val) 0.5668 |*
Epoch 00018 | Loss(train) 1.7723 | Acc(train) 0.3375 | Acc(val) 0.5695 |*
Epoch 00019 | Loss(train) 1.7739 | Acc(train) 0.3134 | Acc(val) 0.5802 |*
Epoch 00020 | Loss(train) 1.7254 | Acc(train) 0.3508 | Acc(val) 0.5802 |
Epoch 00021 | Loss(train) 1.7051 | Acc(train) 0.3508 | Acc(val) 0.5695 |
Epoch 00022 | Loss(train) 1.7047 | Acc(train) 0.3758 | Acc(val) 0.5561 |
Epoch 00023 | Loss(train) 1.6723 | Acc(train) 0.3669 | Acc(val) 0.5615 |
Epoch 00024 | Loss(train) 1.6421 | Acc(train) 0.3972 | Acc(val) 0.5668 |
Epoch 00025 | Loss(train) 1.6296 | Acc(train) 0.3900 | Acc(val) 0.5856 |*
Epoch 00026 | Loss(train) 1.6060 | Acc(train) 0.4078 | Acc(val) 0.5802 |
Epoch 00027 | Loss(train) 1.5479 | Acc(train) 0.4470 | Acc(val) 0.5856 |
Epoch 00028 | Loss(train) 1.5433 | Acc(train) 0.4212 | Acc(val) 0.5909 |*
Epoch 00029 | Loss(train) 1.5505 | Acc(train) 0.4248 | Acc(val) 0.5829 |
Epoch 00030 | Loss(train) 1.5114 | Acc(train) 0.4657 | Acc(val) 0.5642 |
Epoch 00031 | Loss(train) 1.5068 | Acc(train) 0.4639 | Acc(val) 0.5642 |
Epoch 00032 | Loss(train) 1.4778 | Acc(train) 0.4817 | Acc(val) 0.5802 |
Epoch 00033 | Loss(train) 1.4426 | Acc(train) 0.4915 | Acc(val) 0.5963 |*
Epoch 00034 | Loss(train) 1.3750 | Acc(train) 0.5200 | Acc(val) 0.5989 |*
Epoch 00035 | Loss(train) 1.3836 | Acc(train) 0.5147 | Acc(val) 0.6043 |*
Epoch 00036 | Loss(train) 1.4105 | Acc(train) 0.5031 | Acc(val) 0.6123 |*
Epoch 00037 | Loss(train) 1.3718 | Acc(train) 0.5067 | Acc(val) 0.6310 |*
Epoch 00038 | Loss(train) 1.3338 | Acc(train) 0.5191 | Acc(val) 0.6444 |*
Epoch 00039 | Loss(train) 3.9014 | Acc(train) 0.5165 | Acc(val) 0.6765 |*
Epoch 00040 | Loss(train) 1.2637 | Acc(train) 0.5450 | Acc(val) 0.6898 |*
Epoch 00041 | Loss(train) 1.2568 | Acc(train) 0.5548 | Acc(val) 0.6952 |*
Epoch 00042 | Loss(train) 1.2538 | Acc(train) 0.5610 | Acc(val) 0.7139 |*
Epoch 00043 | Loss(train) 1.2374 | Acc(train) 0.5672 | Acc(val) 0.7139 |
Epoch 00044 | Loss(train) 1.1916 | Acc(train) 0.5681 | Acc(val) 0.7193 |*
Epoch 00045 | Loss(train) 1.1845 | Acc(train) 0.5735 | Acc(val) 0.7299 |*
Epoch 00046 | Loss(train) 1.1918 | Acc(train) 0.5699 | Acc(val) 0.7433 |*
Epoch 00047 | Loss(train) 1.1753 | Acc(train) 0.5859 | Acc(val) 0.7754 |*
Epoch 00048 | Loss(train) 1.1218 | Acc(train) 0.5913 | Acc(val) 0.7888 |*
Epoch 00049 | Loss(train) 1.1253 | Acc(train) 0.5913 | Acc(val) 0.8021 |*
Epoch 00050 | Loss(train) 1.1264 | Acc(train) 0.5904 | Acc(val) 0.7995 |
Epoch 00051 | Loss(train) 1.0535 | Acc(train) 0.6224 | Acc(val) 0.8048 |*
Epoch 00052 | Loss(train) 1.1057 | Acc(train) 0.6002 | Acc(val) 0.8182 |*
Epoch 00053 | Loss(train) 1.0513 | Acc(train) 0.6251 | Acc(val) 0.8289 |*
