  NumNodes: 3327
  NumEdges: 9228
  NumFeats: 3703
  NumClasses: 6
  NumTrainingSamples: 120
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Dataset: citeseer | #Nodes: 3327 | #Edges: 12431 | #Classes: 6 |#Features: 3703
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00140 | Loss(train) 1.2275 | Acc(train) 0.5611 | Acc(val) 0.6566 |
Epoch 00141 | Loss(train) 1.2016 | Acc(train) 0.5892 | Acc(val) 0.6627 |
Epoch 00142 | Loss(train) 1.2666 | Acc(train) 0.5651 | Acc(val) 0.6807 |
Epoch 00143 | Loss(train) 1.2898 | Acc(train) 0.5792 | Acc(val) 0.6867 |*
Epoch 00144 | Loss(train) 1.2199 | Acc(train) 0.6112 | Acc(val) 0.6747 |
Epoch 00145 | Loss(train) 1.2109 | Acc(train) 0.5972 | Acc(val) 0.6867 |
Epoch 00146 | Loss(train) 1.2575 | Acc(train) 0.6072 | Acc(val) 0.6687 |
Epoch 00147 | Loss(train) 1.2439 | Acc(train) 0.5792 | Acc(val) 0.6747 |
Epoch 00148 | Loss(train) 1.1801 | Acc(train) 0.6493 | Acc(val) 0.6747 |
Epoch 00149 | Loss(train) 1.1891 | Acc(train) 0.6313 | Acc(val) 0.6627 |
Epoch 00150 | Loss(train) 1.2027 | Acc(train) 0.6152 | Acc(val) 0.6627 |
Epoch 00151 | Loss(train) 1.3117 | Acc(train) 0.6012 | Acc(val) 0.6687 |
Epoch 00152 | Loss(train) 1.1847 | Acc(train) 0.6232 | Acc(val) 0.6687 |
Epoch 00153 | Loss(train) 1.1962 | Acc(train) 0.6112 | Acc(val) 0.6627 |
Epoch 00154 | Loss(train) 1.1722 | Acc(train) 0.5972 | Acc(val) 0.6446 |
Epoch 00155 | Loss(train) 1.1856 | Acc(train) 0.5912 | Acc(val) 0.6566 |
Epoch 00156 | Loss(train) 1.2051 | Acc(train) 0.5972 | Acc(val) 0.6506 |
Epoch 00157 | Loss(train) 1.2480 | Acc(train) 0.5711 | Acc(val) 0.6446 |
Epoch 00158 | Loss(train) 1.2769 | Acc(train) 0.5752 | Acc(val) 0.6566 |
Epoch 00159 | Loss(train) 1.1867 | Acc(train) 0.6313 | Acc(val) 0.6747 |
Epoch 00160 | Loss(train) 1.1964 | Acc(train) 0.5551 | Acc(val) 0.6747 |
Epoch 00161 | Loss(train) 1.1731 | Acc(train) 0.6172 | Acc(val) 0.6747 |
Epoch 00162 | Loss(train) 1.1797 | Acc(train) 0.6212 | Acc(val) 0.6566 |
Epoch 00163 | Loss(train) 1.2141 | Acc(train) 0.6212 | Acc(val) 0.6627 |
Epoch 00164 | Loss(train) 1.1954 | Acc(train) 0.6112 | Acc(val) 0.6506 |
Epoch 00165 | Loss(train) 1.1710 | Acc(train) 0.6373 | Acc(val) 0.6627 |
Epoch 00166 | Loss(train) 1.1937 | Acc(train) 0.6232 | Acc(val) 0.6506 |
Epoch 00167 | Loss(train) 1.1518 | Acc(train) 0.6253 | Acc(val) 0.6566 |
Epoch 00168 | Loss(train) 1.2136 | Acc(train) 0.6172 | Acc(val) 0.6627 |
Epoch 00169 | Loss(train) 1.1325 | Acc(train) 0.6413 | Acc(val) 0.6687 |
Epoch 00170 | Loss(train) 1.1697 | Acc(train) 0.6393 | Acc(val) 0.6747 |
Epoch 00171 | Loss(train) 1.1979 | Acc(train) 0.6333 | Acc(val) 0.6747 |
Epoch 00172 | Loss(train) 1.1818 | Acc(train) 0.6253 | Acc(val) 0.6747 |
Epoch 00173 | Loss(train) 1.1760 | Acc(train) 0.6273 | Acc(val) 0.6627 |
Epoch 00174 | Loss(train) 1.1940 | Acc(train) 0.6713 | Acc(val) 0.6627 |
Epoch 00175 | Loss(train) 1.1268 | Acc(train) 0.6232 | Acc(val) 0.6566 |
Epoch 00176 | Loss(train) 1.1823 | Acc(train) 0.6072 | Acc(val) 0.6566 |
Epoch 00177 | Loss(train) 1.1358 | Acc(train) 0.6393 | Acc(val) 0.6627 |
Epoch 00178 | Loss(train) 1.1405 | Acc(train) 0.6533 | Acc(val) 0.6566 |
Epoch 00179 | Loss(train) 1.1228 | Acc(train) 0.6593 | Acc(val) 0.6627 |
Epoch 00180 | Loss(train) 1.1596 | Acc(train) 0.6333 | Acc(val) 0.6627 |
Epoch 00181 | Loss(train) 1.2251 | Acc(train) 0.5992 | Acc(val) 0.6687 |
Epoch 00182 | Loss(train) 1.1533 | Acc(train) 0.6413 | Acc(val) 0.6747 |
Epoch 00183 | Loss(train) 1.1403 | Acc(train) 0.6473 | Acc(val) 0.6687 |
Epoch 00184 | Loss(train) 1.1321 | Acc(train) 0.6633 | Acc(val) 0.6747 |
Epoch 00185 | Loss(train) 1.2223 | Acc(train) 0.6713 | Acc(val) 0.6807 |
Epoch 00186 | Loss(train) 1.1258 | Acc(train) 0.6513 | Acc(val) 0.6747 |
Epoch 00187 | Loss(train) 1.1645 | Acc(train) 0.6293 | Acc(val) 0.6687 |
Epoch 00188 | Loss(train) 1.1669 | Acc(train) 0.6453 | Acc(val) 0.6747 |
Epoch 00189 | Loss(train) 1.1328 | Acc(train) 0.6393 | Acc(val) 0.6807 |
Epoch 00190 | Loss(train) 1.1319 | Acc(train) 0.6473 | Acc(val) 0.6807 |
Epoch 00191 | Loss(train) 1.1034 | Acc(train) 0.6453 | Acc(val) 0.6807 |
Epoch 00192 | Loss(train) 1.1159 | Acc(train) 0.6553 | Acc(val) 0.6807 |
Epoch 00193 | Loss(train) 1.0846 | Acc(train) 0.6593 | Acc(val) 0.6687 |
Epoch 00194 | Loss(train) 1.1281 | Acc(train) 0.6533 | Acc(val) 0.6687 |
Epoch 00195 | Loss(train) 1.1218 | Acc(train) 0.6533 | Acc(val) 0.6807 |
Epoch 00196 | Loss(train) 1.1454 | Acc(train) 0.6373 | Acc(val) 0.6807 |
Epoch 00197 | Loss(train) 1.1465 | Acc(train) 0.6353 | Acc(val) 0.6867 |
Epoch 00198 | Loss(train) 1.1081 | Acc(train) 0.6673 | Acc(val) 0.6867 |
Epoch 00199 | Loss(train) 1.1240 | Acc(train) 0.6533 | Acc(val) 0.6807 |
Epoch 00200 | Loss(train) 1.1778 | Acc(train) 0.6253 | Acc(val) 0.6747 |
************************************
Start fitting calibration
************************************
Calibration model configuration
Namespace(calibration={'epochs': 1000, 'patience': 50, 'cal_lr': 0.1, 'cal_weight_decay': 0.01, 'num_bin': 10, 'calibrator_name': 'GETS', 'backbone': 'gcn', 'hidden_dim': 32, 'cal_dropout': 0.4, 'cal_num_layer': 2, 'expert_select': 2, 'expert_configs': [['logits'], ['features'], ['degrees'], ['logits', 'features'], ['features', 'degrees'], ['logits', 'degrees'], ['logits', 'features', 'degrees']], 'feature_hidden_dim': 32, 'degree_hidden_dim': 64, 'noisy_gating': True, 'coef': 1.0}, gnn={'type': 'gcnii', 'num_layer': 16, 'hid_dim': 16, 'dropout': 0.5, 'norm': None, 'in_dim': 3703, 'out_dim': 6}, train={'epochs': 200, 'lr': 0.01, 'weight_decay': 0.0005, 'patience': None})
************************************
Epoch 00001 | Loss(calibration) 1.0196 | Loss(load) 0.5999 |*
Epoch 00002 | Loss(calibration) 0.7852 | Loss(load) 1.3162 |*
Epoch 00003 | Loss(calibration) 0.7909 | Loss(load) 0.6620 |
Epoch 00004 | Loss(calibration) 0.8584 | Loss(load) 0.7248 |
Epoch 00005 | Loss(calibration) 0.8712 | Loss(load) 1.0690 |
Epoch 00006 | Loss(calibration) 0.8140 | Loss(load) 0.9499 |
Epoch 00007 | Loss(calibration) 0.7619 | Loss(load) 0.9755 |*
Epoch 00008 | Loss(calibration) 0.7566 | Loss(load) 1.0661 |*
Epoch 00009 | Loss(calibration) 0.7556 | Loss(load) 1.0778 |*
Epoch 00010 | Loss(calibration) 0.7562 | Loss(load) 1.0580 |
Epoch 00011 | Loss(calibration) 0.7569 | Loss(load) 0.8486 |
Epoch 00012 | Loss(calibration) 0.8115 | Loss(load) 0.6683 |
Epoch 00013 | Loss(calibration) 0.8242 | Loss(load) 1.0463 |
Epoch 00014 | Loss(calibration) 0.7678 | Loss(load) 1.1314 |
Epoch 00015 | Loss(calibration) 0.7566 | Loss(load) 1.0920 |
Epoch 00016 | Loss(calibration) 0.7505 | Loss(load) 0.9107 |*
Epoch 00017 | Loss(calibration) 0.7463 | Loss(load) 1.1054 |*
Epoch 00018 | Loss(calibration) 0.7524 | Loss(load) 1.1622 |
